BRANCH	STRT_NODE	END_NODE
1 0 4.68481810317248
2 4.68481810317248 12.3277607190594
3 12.3277607190594 22.222844773192
4 22.222844773192 55.6463573530252
5 22.222844773192 30.0878572479291
6 30.0878572479291 55.6463573530252
7 30.0878572479291 55.6463573530252
8 12.3277607190594 55.6463573530252
9 4.68481810317248 14.4418159461399
10 14.4418159461399 30.2531235265557
11 30.2531235265557 34.4584958629281
12 34.4584958629281 36.9924573823263
13 36.9924573823263 39.0308712058514
14 39.0308712058514 44.2791031976033
15 44.2791031976033 55.6463573530252
16 44.2791031976033 55.6463573530252
17 39.0308712058514 41.1971853803517
18 41.1971853803517 55.6463573530252
19 41.1971853803517 55.6463573530252
20 36.9924573823263 42.6497776230264
21 42.6497776230264 55.6463573530252
22 42.6497776230264 55.6463573530252
23 34.4584958629281 55.6463573530252
24 30.2531235265557 34.5175616832349
25 34.5175616832349 41.224979006371
26 41.224979006371 44.2036119173325
27 44.2036119173325 50.6764484647711
28 50.6764484647711 55.6463573530252
29 50.6764484647711 55.6463573530252
30 44.2036119173325 55.6463573530252
31 41.224979006371 55.6463573530252
32 34.5175616832349 55.6463573530252
33 14.4418159461399 21.5936133123045
34 21.5936133123045 27.7335969413979
35 27.7335969413979 36.2428961675996
36 36.2428961675996 43.816836331526
37 43.816836331526 46.6930634129242
38 46.6930634129242 52.0505007989725
39 52.0505007989725 55.6463573530252
40 52.0505007989725 55.6463573530252
41 46.6930634129242 55.6463573530252
42 43.816836331526 55.6463573530252
43 36.2428961675996 41.4283807790577
44 41.4283807790577 47.0974963180482
45 47.0974963180482 55.6463573530252
46 47.0974963180482 55.6463573530252
47 41.4283807790577 55.6463573530252
48 27.7335969413979 55.6463573530252
49 21.5936133123045 39.6568127423741
50 39.6568127423741 55.6463573530252
51 39.6568127423741 55.6463573530252
52 0 55.6463573530252
